Epoch,Loss,NC1,NC2,NC3,NC4,Rho_Adv
1,0.0009949384589865804,0.011423987150192261,0.12634018063545227,0.007658216073651636,0.0,0.3387882773756119
2,0.0009581329251080751,0.010677603632211685,0.126357302069664,0.007108478061888468,0.0,0.3387882773756119
3,0.0009241455620527268,0.010039299726486206,0.12617254257202148,0.007787677864472764,0.0,0.3387882773756119
4,0.0009681211183592678,0.009593915194272995,0.12577983736991882,0.0072379239665318895,0.0,0.3387882773756119
5,0.0009628316602483392,0.009077080339193345,0.1258808970451355,0.007201962649162397,0.0,0.3387882773756119
6,0.0009882847144827246,0.008624794334173203,0.12592260539531708,0.008003438269615026,0.0,0.3387882773756119
7,0.000968544714152813,0.008203992247581482,0.12596063315868378,0.007226032466816301,0.0,0.3387882773756119
8,0.0009874995075911284,0.00783182829618454,0.12592250108718872,0.00672487283296519,0.0,0.3387882773756119
9,0.0010363985335081816,0.007517473399639129,0.12605445086956024,0.007613171272914665,0.0,0.3387882773756119
10,0.0010033930533751845,0.007194161415100098,0.12604114413261414,0.0071436198577343735,0.0,0.3387882773756119
11,0.0010095812202244997,0.006903087347745895,0.12601003050804138,0.006935945106328667,0.0,0.3387882773756119
12,0.001054042361304164,0.0066911369562149044,0.1261041760444641,0.007906891781329917,0.0,0.3387882773756119
13,0.0010510622148029506,0.006439884006977081,0.12604154646396637,0.006925353466773254,0.0,0.3387882773756119
14,0.0010693680196814238,0.006251965463161468,0.12620778381824493,0.008190818582269666,0.0,0.3387882773756119
15,0.0010866978863999248,0.00610060766339302,0.12605300545692444,0.008078342890521562,0.0,0.3387882773756119
16,0.0010895484345406295,0.005817706882953644,0.12616144120693207,0.006809969820062101,0.0,0.3387882773756119
17,0.00111794202119112,0.005659975484013558,0.12592902779579163,0.007147692224332369,0.0,0.3387882773756119
18,0.0011226073393970728,0.0054595980793237684,0.1260271966457367,0.007739258973234797,0.0,0.3387882773756119
19,0.0011158521059155464,0.005327148735523224,0.1258668750524521,0.007439572691724017,0.0,0.3387882773756119
20,0.001134853266440332,0.0051254905760288235,0.12592019140720367,0.007736501083854819,0.0,0.3387882773756119
21,0.0011195920348912476,0.004945801198482513,0.12590819597244263,0.007119133332746108,0.0,0.3387882773756119
22,0.0011166636256873608,0.004824718832969666,0.12586382031440735,0.007374392278725106,0.0,0.3387882773756119
23,0.001143047787565738,0.004626436159014702,0.12596391141414642,0.007300903068148623,0.0,0.3387882773756119
24,0.001136937774606049,0.004595795273780822,0.1261393427848816,0.007594230369364574,0.0,0.3387882773756119
25,0.0011359336513653397,0.00444226861000061,0.1258906126022339,0.007646825794018819,0.0,0.5535214268534683
26,0.001162713517434895,0.004282087087631226,0.12583477795124054,0.006823889544494088,0.0,0.5535214268534683
27,0.0011524903424829246,0.00418488159775734,0.12588351964950562,0.007123968413602633,0.0,0.5535214268534683
28,0.0011346137557923794,0.0040497075766325,0.12568144500255585,0.007117226159403467,0.0,0.5535214268534683
29,0.0011748110095411539,0.003955914825201035,0.12580645084381104,0.007185940517691558,0.0,0.5535214268534683
30,0.0011477360516414046,0.003906840085983276,0.12583473324775696,0.007689332822891581,0.0,0.5535214268534683
31,0.0011608327917009592,0.0037325643002986907,0.12592680752277374,0.007287027591111661,0.0,0.5535214268534683
32,0.0011555532898008824,0.0037147924304008484,0.12580212950706482,0.007275155542072975,0.0,0.5535214268534683
33,0.0011517152597755194,0.003569057583808899,0.12581373751163483,0.007988565271435988,0.0,0.5535214268534683
34,0.0011435789507627488,0.0034683827310800553,0.12572745978832245,0.00772076535988564,0.0,0.5535214268534683
35,0.0011554256459325551,0.0033602487295866013,0.12576015293598175,0.00707693493606798,0.0,0.5535214268534683
36,0.0011315801795199513,0.003301199898123741,0.12558767199516296,0.0068216124995581495,0.0,0.5535214268534683
37,0.00114691880479455,0.003210672736167908,0.12583106756210327,0.0073479507877483585,0.0,0.5535214268534683
38,0.001143750796765089,0.0032013077288866043,0.12568120658397675,0.007263168717264401,0.0,0.5535214268534683
39,0.0011579786530137063,0.0031000636518001556,0.12568582594394684,0.0077252923893059156,0.0,0.5535214268534683
40,0.0011442192550003528,0.0029265101999044417,0.12548154592514038,0.006412615883633954,0.0,0.5535214268534683
41,0.0011505615021288394,0.002926420234143734,0.1256372332572937,0.0075563299582595556,0.0,0.5535214268534683
42,0.0011228196455165744,0.002844817191362381,0.125616192817688,0.006992963050524159,0.0,0.5535214268534683
43,0.001143615152426064,0.0027635769918560983,0.12563909590244293,0.007304077586806068,0.0,0.5535214268534683
44,0.0011581497973948717,0.002717924676835537,0.12546317279338837,0.006879480671039495,0.0,0.5535214268534683
45,0.0011387751444801688,0.002640604227781296,0.1255001425743103,0.006680643111932005,0.0,0.5535214268534683
46,0.0011355905970558524,0.0025642182677984237,0.12540434300899506,0.007020133051405475,0.0,0.5535214268534683
47,0.0011345128393173219,0.00252646766602993,0.1253860741853714,0.0075110748304699215,0.0,0.5535214268534683
48,0.0011165575847774745,0.0024745021015405654,0.12537063658237457,0.006753726429443996,0.0,0.5535214268534683
49,0.0011510067700594663,0.002427814155817032,0.12536905705928802,0.00699054708338398,0.0,0.5535214268534683
50,0.0011329957151785493,0.002353983372449875,0.12537835538387299,0.007284996310293279,0.0,0.8558087097389602
51,0.0011157229283824564,0.0022693220525979996,0.1254614144563675,0.007388512031880623,0.0,0.8558087097389602
52,0.0011224135392159224,0.002248416095972061,0.12532031536102295,0.007075490916635951,0.0,0.8558087097389602
53,0.0011468212034925819,0.0021877724677324293,0.12531845271587372,0.006966072080383023,0.0,0.8558087097389602
54,0.0011253814439475536,0.0021383143961429597,0.12528201937675476,0.007279893283290484,0.0,0.8558087097389602
55,0.001109169330559671,0.002071615122258663,0.12518803775310516,0.007136982864298036,0.0,0.8558087097389602
56,0.0011088134764879942,0.00206388458609581,0.12507402896881104,0.007351166179925039,0.0,0.8558087097389602
57,0.0011065731317922473,0.0020205780863761904,0.12524592876434326,0.0077666718535912005,0.0,0.8558087097389602
58,0.0011181239413097501,0.001962999254465103,0.12525321543216705,0.0070020986536043495,0.0,0.8558087097389602
59,0.0011165810792520643,0.0019356386736035347,0.12525390088558197,0.008014969621363,0.0,0.8558087097389602
60,0.001137203314192593,0.0018701968714594842,0.12525023519992828,0.006625484458553432,0.0,0.8558087097389602
61,0.0011024933367595076,0.001873471587896347,0.1250915825366974,0.0070613881441943804,0.0,0.8558087097389602
62,0.0011078638159483672,0.001845327392220497,0.12497295439243317,0.006993682065118634,0.0,0.8558087097389602
63,0.0011107945843786002,0.0017753593623638154,0.12500488758087158,0.006982214640604889,0.0,0.8558087097389602
64,0.0011215870206058025,0.001764611154794693,0.12499469518661499,0.007519983177442013,0.0,0.8558087097389602
65,0.0011333396892249585,0.0017221836373209954,0.12499676644802094,0.007521527431484154,0.0,0.8558087097389602
66,0.0011155679937452077,0.001670340448617935,0.12496225535869598,0.006980276098780325,0.0,0.8558087097389602
67,0.0011007604998722672,0.0016228105872869492,0.12483871728181839,0.006869279286127183,0.0,0.8558087097389602
68,0.0010937759448960424,0.0015765458345413208,0.12495842576026917,0.006621889878049514,0.0,0.8558087097389602
69,0.0011088757361099124,0.0015588423237204551,0.12493293732404709,0.006844179380767701,0.0,0.8558087097389602
70,0.0010813441820815206,0.0015767242759466172,0.12495139241218567,0.007801420359577982,0.0,0.8558087097389602
71,0.0011198571841418744,0.0015157276764512062,0.12476315349340439,0.007252285602101838,0.0,0.8558087097389602
72,0.0011089092595130206,0.0014734546653926372,0.12490218877792358,0.007018003251183735,0.0,0.8558087097389602
73,0.001106369089782238,0.0014892816543579102,0.12489528954029083,0.007477076439153019,0.0,0.8558087097389602
74,0.0011079237599670886,0.0014122838154435157,0.12475869804620743,0.0068465958162505225,0.0,0.8558087097389602
75,0.0011084078464657068,0.0013753622770309448,0.12474638223648071,0.007031048038761922,0.0,1.1562905874988942
76,0.0010992205557227134,0.0014543598517775536,0.12489219754934311,0.00801465879148111,0.0,1.1562905874988942
77,0.0010733243818581105,0.0013689480721950531,0.12466061115264893,0.0076676522520662815,0.0,1.1562905874988942
78,0.0011035879203863442,0.001333364099264145,0.12452523410320282,0.007300551659650323,0.0,1.1562905874988942
79,0.0010739728715270758,0.0013266216032207013,0.12465712428092957,0.007115229998527761,0.0,1.1562905874988942
80,0.001095841631628573,0.0012863977812230588,0.1244131326675415,0.006764807416459462,0.0,1.1562905874988942
81,0.0010844878091663122,0.001281399093568325,0.12474118918180466,0.0077285499996628815,0.0,1.1562905874988942
82,0.0010918684205040335,0.0012522665783762932,0.1245894581079483,0.007874711985810023,0.0,1.1562905874988942
83,0.0010990576685220004,0.0012351397424936294,0.12451597303152084,0.007403111972477616,0.0,1.1562905874988942
84,0.001092144997883588,0.0011934538371860981,0.1245669424533844,0.007000043900863062,0.0,1.1562905874988942
85,0.0010842140047252178,0.0012185614556074142,0.12448539584875107,0.007869490999158624,0.0,1.1562905874988942
86,0.0010924231687560678,0.001163031253963709,0.12436386197805405,0.00700002395328525,0.0,1.1562905874988942
87,0.001068182135373354,0.0011840718798339367,0.12441064417362213,0.008440968037091212,0.0,1.1562905874988942
88,0.001067866187915206,0.0011331560090184212,0.12436491250991821,0.007040866148159353,0.0,1.1562905874988942
89,0.0010932045962661506,0.0011325631290674209,0.12442827969789505,0.006970198029419061,0.0,1.1562905874988942
90,0.0010937507491186262,0.0011263202875852584,0.1244516670703888,0.007064636660612467,0.0,1.1562905874988942
91,0.0011055107214674354,0.0011016614735126495,0.12444765120744705,0.007829285819240861,0.0,1.1562905874988942
92,0.001086532766148448,0.0010586455464363098,0.12432967126369476,0.007048913226885611,0.0,1.1562905874988942
93,0.0010784391155093907,0.0010789642110466957,0.12427578121423721,0.0072362202362976635,0.0,1.1562905874988942
94,0.0010761744644492864,0.001065248530358076,0.12430717796087265,0.007519166531451182,0.0,1.1562905874988942
95,0.001077445377446711,0.0010482601821422577,0.1242896169424057,0.007681808271029988,0.0,1.1562905874988942
96,0.0010703656613826752,0.001021365076303482,0.12425892800092697,0.007197926682497524,0.0,1.1562905874988942
97,0.0010760756113752724,0.0010106142610311509,0.12412495911121368,0.006769000834829841,0.0,1.1562905874988942
98,0.0010835441648215055,0.001014203205704689,0.12418591231107712,0.00724713061967841,0.0,1.1562905874988942
99,0.0010828238135948778,0.0010241388343274593,0.12393558770418167,0.007717150713176191,0.0,1.1562905874988942
100,0.0010934230145066978,0.001030537486076355,0.12410286068916321,0.007768945204279731,0.0,1.5586927490454625
101,0.001076681242585182,0.0009625663980841637,0.12414881587028503,0.006975166461452353,0.0,1.5586927490454625
102,0.001075739341042936,0.0009801413863897324,0.12423572689294815,0.007972805309182596,0.0,1.5586927490454625
103,0.0011039234253577888,0.001067422516644001,0.12411174923181534,0.007071550696704287,0.0,1.5586927490454625
104,0.001969084657356143,0.004211705178022385,0.12467999011278152,0.00802548402185721,3.9999998989515007e-05,1.5586927490454625
105,0.0041409459862113,0.026268979907035826,0.14449511468410492,0.032249196914113876,0.002580000087618828,1.5586927490454625
106,0.005503340244665742,0.01108008623123169,0.1271059811115265,0.009751389394723697,0.00011999999696854502,1.5586927490454625
107,0.0019563835433870553,0.003990616276860237,0.12418054044246674,0.007750682441688694,0.0,1.5586927490454625
108,0.0012178338959813117,0.002647387608885765,0.12422740459442139,0.006645263582909289,0.0,1.5586927490454625
109,0.001071191321387887,0.0021950606256723403,0.12444745004177094,0.007870942495010136,0.0,1.5586927490454625
110,0.001168977417051792,0.002686116471886635,0.12426356971263885,0.006722537842376808,0.0,1.5586927490454625
111,0.0010852979014068843,0.0017817344516515732,0.12417785078287125,0.008287722747685189,0.0,1.5586927490454625
112,0.0009948051716014742,0.0015298263169825077,0.12397181987762451,0.006779963053786864,0.0,1.5586927490454625
113,0.000988137446474284,0.0014096785336732865,0.1241532638669014,0.006909529489061095,0.0,1.5586927490454625
114,0.0009876806845515967,0.0013081159442663193,0.12403223663568497,0.006487417929024242,0.0,1.5586927490454625
115,0.0009903178909048437,0.0012548089958727359,0.1238384023308754,0.006705498959025613,0.0,1.5586927490454625
