Epoch,LR,Loss,Accuracy,NC1,NC2,NC3,NC4
1,0.05,2.3975404764556885,9.996,1220.2212890625,0.36012232303619385,1.6539140798702334,0.9180799722671509
2,0.05,2.304216907348633,9.86,1634.832421875,0.576164722442627,1.5596727416829168,0.96288001537323
3,0.05,2.3036016120910645,10.114,1086.82001953125,0.32168811559677124,1.0430506827181176,0.39871999621391296
4,0.05,2.303212578659058,10.236,1396.67138671875,0.45037901401519775,1.2845090068876743,0.9808800220489502
5,0.05,2.303137247314453,10.188,1054.47890625,0.30189117789268494,0.8099811817308513,0.9215400218963623
6,0.05,2.3027791340637207,10.51,813.52705078125,0.3198274075984955,0.6285677686486544,0.8955600261688232
7,0.05,2.302277367706299,10.624,970.05625,0.3782080411911011,0.6776127844172244,0.5904600024223328
8,0.05,2.302141195220947,10.656,767.5869140625,0.40294790267944336,0.59624707236296,0.8121600151062012
9,0.05,2.3016085105896,10.794,793.975927734375,0.4409315288066864,0.5649784029145763,0.48555999994277954
10,0.05,2.3022995612335206,10.952,1004.969140625,0.42828673124313354,0.4856348154693855,0.5841000080108643
11,0.05,2.300825079345703,10.872,753.91201171875,0.41096359491348267,0.40069483092617375,0.5785800218582153
12,0.05,2.299623542480469,11.19,694.615966796875,0.4690515697002411,0.4367828968276264,0.43272000551223755
13,0.05,2.2979588636779784,11.786,802.4361328125,0.40705692768096924,0.3518291377878633,0.5422400236129761
14,0.05,2.295699087371826,11.848,373.419482421875,0.41200411319732666,0.3219753387493398,0.3123199939727783
15,0.05,2.2934388910675048,12.334,624.402587890625,0.410717248916626,0.3121790866367178,0.42170000076293945
16,0.05,2.288988268966675,12.892,757.11708984375,0.36511388421058655,0.2823365139740872,0.42489999532699585
17,0.05,2.2837046076965333,13.312,405.3765625,0.3626483678817749,0.32192474394277326,0.3383199870586395
18,0.05,2.2766210526275636,14.242,330.2501953125,0.36075857281684875,0.3541761300648574,0.4065000116825104
19,0.05,2.267678578262329,14.942,86.59177856445312,0.34051260352134705,0.2928518741254358,0.37119999527931213
20,0.05,2.2548540531921386,15.946,85.99833984375,0.32779884338378906,0.2936842702478124,0.2489199936389923
21,0.05,2.2383739136505127,17.06,53.2021484375,0.32236871123313904,0.2555924612125615,0.35547998547554016
22,0.05,2.215156559524536,18.398,38.645379638671876,0.32881325483322144,0.23953490873060446,0.2821600139141083
23,0.05,2.187450813293457,19.976,23.21224365234375,0.28385666012763977,0.2583868932516111,0.36612001061439514
24,0.05,2.1469842137908937,22.168,15.352348327636719,0.30701032280921936,0.216751514750527,0.38659998774528503
25,0.05,2.1018288066101074,24.376,12.84952392578125,0.2579433023929596,0.17589771538436683,0.26537999510765076
26,0.05,2.0365306271362305,27.346,6.252491760253906,0.25986114144325256,0.22855912286259272,0.33616000413894653
27,0.05,1.955175244216919,30.91,5.6824592590332035,0.25073131918907166,0.1893173689527572,0.3458000123500824
28,0.05,1.8566323593139649,34.838,3.8961410522460938,0.23751236498355865,0.1896432444770113,0.29236000776290894
29,0.05,1.7355415451812743,39.952,2.5657705307006835,0.23682737350463867,0.1757652994040848,0.2888000011444092
30,0.05,1.6085676864624023,44.31,2.307118606567383,0.19823341071605682,0.1441154744247939,0.22168000042438507
31,0.05,1.4692030964279175,49.396,1.8324239730834961,0.2058940976858139,0.1458012549669272,0.2335599958896637
32,0.05,1.3262487688446045,54.496,1.4708991050720215,0.1951635330915451,0.11111264759171036,0.11242000013589859
33,0.05,1.1797477912139893,59.614,1.3636538505554199,0.18975059688091278,0.13355574626558653,0.19840000569820404
34,0.05,1.0697610049057007,63.428,1.1507623672485352,0.18405865132808685,0.11990381755030999,0.13925999402999878
35,0.05,0.9611198864364624,67.168,1.0177804946899414,0.18376457691192627,0.10248292464896114,0.08511999994516373
36,0.05,0.8709126943588257,70.2,0.9757785797119141,0.18607906997203827,0.11265247798342504,0.11017999798059464
37,0.05,0.800897938041687,72.702,0.8773367881774903,0.1735175997018814,0.10676362162673403,0.11255999654531479
38,0.05,0.7367919161605835,74.928,0.8926992416381836,0.17309968173503876,0.11482697158342958,0.1320199966430664
39,0.05,0.7106034041976929,75.774,0.8229909896850586,0.16828833520412445,0.11762744899841948,0.11664000153541565
