Epoch,LR,Loss,Accuracy,NC1,NC2,NC3,NC4
1,0.05,0.18586385850429535,94.432,0.12679030895233154,0.24210844933986664,0.2223543599400637,0.007120000198483467
2,0.05,0.03265205951809883,98.976,0.11134903430938721,0.23240749537944794,0.20194228657641222,0.01131999958306551
3,0.05,0.01967172875136137,99.406,0.10323394536972046,0.23626384139060974,0.17796647103392704,0.006399999838322401
4,0.05,0.015137620195820928,99.508,0.09605867862701416,0.19857394695281982,0.14801876382822243,0.006039999891072512
5,0.05,0.010351220195144414,99.712,0.08138073682785034,0.17923198640346527,0.1556466767721112,0.002259999979287386
6,0.05,0.014519895197302103,99.542,0.08429074883460999,0.17966358363628387,0.14551937965743278,0.00547999981790781
7,0.05,0.0097073664650321,99.708,0.08422160744667054,0.18435753881931305,0.1438780068407377,0.005840000230818987
8,0.05,0.011744680154770613,99.65,0.07215436697006225,0.17486388981342316,0.13023679601759852,0.004699999932199717
9,0.05,0.012668427533060312,99.634,0.0693129062652588,0.1668267846107483,0.12397129332936263,0.00107999995816499
10,0.05,0.012339972450584174,99.646,0.061835968494415285,0.16923701763153076,0.11353634962276615,0.00107999995816499
11,0.05,0.009189804526045918,99.75,0.06199158430099487,0.15751735866069794,0.11843953485482306,0.0038399999029934406
12,0.05,0.010996725779622794,99.708,0.06410359740257263,0.1553182601928711,0.10569536128784662,0.005179999861866236
13,0.05,0.012061573029458523,99.664,0.06114974021911621,0.15508535504341125,0.10282466728348538,0.0029200001154094934
14,0.05,0.012110153015702963,99.648,0.0598415732383728,0.15935371816158295,0.12113635336064377,0.0037799999117851257
15,0.05,0.012173482448905707,99.668,0.05610933303833008,0.15511660277843475,0.09061885159823735,0.0034199999645352364
16,0.05,0.01038146483808756,99.704,0.05036431550979614,0.14862754940986633,0.08227011999260014,0.0018400000408291817
17,0.05,0.01128884681418538,99.698,0.047395837306976316,0.14804652333259583,0.07302333223919621,0.0012400000123307109
18,0.05,0.009844341460615396,99.76,0.04409744739532471,0.14907009899616241,0.07852005935637862,0.0019000000320374966
19,0.05,0.011670721474066377,99.686,0.053964638710021974,0.15638700127601624,0.08886127920428866,0.006240000016987324
20,0.05,0.011395832019001245,99.694,0.0457806795835495,0.14699378609657288,0.06656122497685235,0.00267999991774559
21,0.05,0.013542316711097955,99.612,0.04661194980144501,0.1472501903772354,0.06023392106593306,0.0015800000401213765
22,0.05,0.012957621353566647,99.628,0.05150513648986817,0.14997561275959015,0.06331016210055296,0.00443999981507659
23,0.05,0.013118074253574013,99.65,0.03982045650482178,0.14082512259483337,0.060063969831617214,0.0013800000306218863
24,0.05,0.0092587832801044,99.76,0.047808212041854856,0.14240708947181702,0.06338865296232044,0.0018599999602884054
25,0.05,0.012123608640283346,99.688,0.04200372397899628,0.14528243243694305,0.052316578113519085,0.0030400000978261232
26,0.05,0.012477071045041085,99.634,0.041556629538536075,0.14051160216331482,0.054812793710880214,0.0015800000401213765
27,0.05,0.013477878479659557,99.622,0.041797217726707456,0.1419719010591507,0.04925107174893473,0.0016799999866634607
28,0.05,0.01115288634210825,99.696,0.032398545742034913,0.140051007270813,0.046834737587823305,0.0007800000021234155
29,0.05,0.012029367596805096,99.68,0.05480999946594238,0.1373014748096466,0.06681556823530688,0.006440000142902136
30,0.05,0.011223376027643681,99.712,0.0514609694480896,0.15191440284252167,0.07506392536937856,0.010900000110268593
31,0.05,0.013420388178825378,99.594,0.04339940547943115,0.14023587107658386,0.05859388316368097,0.0037799999117851257
32,0.05,0.012624944574832916,99.66,0.03860210180282593,0.14783813059329987,0.04071167716220092,0.002240000059828162
33,0.05,0.010831122387945652,99.738,0.03779651820659637,0.1431327909231186,0.03533489355673347,0.001180000021122396
34,0.05,0.009776447979062795,99.748,0.031064078211784363,0.1506248265504837,0.03700823400777509,0.0007600000244565308
35,0.05,0.012307776567190886,99.656,0.03713239133358002,0.14847813546657562,0.03573777993424532,0.0026599999982863665
36,0.05,0.011884625458866357,99.68,0.03759876489639282,0.14260289072990417,0.039528957837014156,0.0012199999764561653
37,0.05,0.008377214552462101,99.796,0.03411388397216797,0.15154513716697693,0.04420095429542337,0.001879999996162951
38,0.05,0.009745419070869685,99.748,0.04307041764259338,0.14938412606716156,0.052230526297210256,0.0049600000493228436
39,0.05,0.013740799695253372,99.624,0.035154837369918826,0.14529986679553986,0.034976219859574664,0.0010000000474974513
40,0.05,0.012768851951360703,99.652,0.03234530985355377,0.1388780176639557,0.03335492068189816,0.0008999999845400453
41,0.05,0.009917878544479609,99.744,0.039479440450668334,0.14922602474689484,0.032724246630771114,0.0009800000116229057
42,0.05,0.010593231439590454,99.706,0.028130549192428588,0.13538974523544312,0.02157058305594095,0.0005200000014156103
43,0.05,0.011228256494626403,99.702,0.03592146933078766,0.14886558055877686,0.03200811703575135,0.0018599999602884054
44,0.05,0.008117124843448401,99.788,0.04087467789649964,0.1451546996831894,0.04036854128873646,0.004339999984949827
45,0.05,0.00943002713754773,99.762,0.03055742084980011,0.14842605590820312,0.03439272591933573,0.00107999995816499
46,0.05,0.011162141725718975,99.714,0.0352479338645935,0.1391487717628479,0.032277081086906634,0.0031799999997019768
47,0.05,0.011347176417410374,99.708,0.03744723200798035,0.1415192037820816,0.025705435753986317,0.0004199999966658652
48,0.05,0.01004614536717534,99.706,0.04594346284866333,0.152459517121315,0.04825814854512189,0.003000000026077032
49,0.05,0.011696034685000778,99.646,0.030123043060302734,0.13963976502418518,0.024370486751835507,0.0006399999838322401
50,0.05,0.00794020313501358,99.804,0.033309897780418395,0.1415756493806839,0.04861663899725088,0.00215999991632998
51,0.05,0.009557723249942064,99.758,0.03950597047805786,0.14072051644325256,0.036519369976733884,0.002959999954327941
52,0.05,0.009137783012092114,99.756,0.03809601962566376,0.14596852660179138,0.03036609764626519,0.0007600000244565308
53,0.05,0.008253230558782815,99.79,0.03285853564739227,0.14608824253082275,0.03374085429058149,0.0012000000569969416
54,0.05,0.010321803105026483,99.732,0.024624019861221313,0.13018397986888885,0.026236459397360967,0.00019999999494757503
55,0.05,0.009384116730242968,99.766,0.029525172710418702,0.13957498967647552,0.02592214147894567,0.0018400000408291817
