Epoch,LR,Loss,Accuracy,NC1,NC2,NC3,NC4
22,0.05,0.05712843907773495,98.074,0.1354012131690979,0.16875749826431274,0.12035587370352463,0.007819999940693378
23,0.05,0.049164178718328476,98.314,0.12375475168228149,0.1669762283563614,0.09857856417880839,0.007259999867528677
24,0.05,0.06284334224820137,97.848,0.12440789937973022,0.17392343282699585,0.09721952067420236,0.01116000022739172
25,0.05,0.05301975165963173,98.198,0.13793976306915284,0.18453070521354675,0.09147279439645217,0.014000000432133675
26,0.05,0.052903906660079957,98.214,0.12027199268341064,0.1653776466846466,0.07590011836868271,0.008559999987483025
27,0.05,0.04975576888203621,98.36,0.12821954488754272,0.1865392029285431,0.08733174022538837,0.010940000414848328
28,0.05,0.05931554294586182,97.944,0.12015976905822753,0.16826555132865906,0.07556926681628795,0.005439999978989363
29,0.05,0.046456873574256895,98.404,0.11819286346435547,0.16340428590774536,0.07915892187606577,0.01140000019222498
30,0.05,0.05210861258029938,98.178,0.11044574975967407,0.15780287981033325,0.07841881063745859,0.007120000198483467
31,0.05,0.050203426115512845,98.364,0.11387908458709717,0.1760406345129013,0.08095485271245284,0.0066999997943639755
32,0.05,0.04699070777416229,98.398,0.12273283004760742,0.17217884957790375,0.07105389368922488,0.0052200001664459705
33,0.05,0.05156672184944153,98.272,0.127156400680542,0.17038494348526,0.07526072070220735,0.006819999776780605
34,0.05,0.046952605767250064,98.444,0.11672728061676026,0.1679898351430893,0.07010174897274979,0.008980000391602516
35,0.05,0.04511362315043807,98.54,0.10597124099731445,0.16647139191627502,0.07250001096969072,0.009200000204145908
36,0.05,0.048917642201185225,98.274,0.1624882459640503,0.167906254529953,0.07814564540366575,0.024879999458789825
37,0.05,0.05040290860772133,98.344,0.10019303560256958,0.16670630872249603,0.06046623356771996,0.0034000000450760126
38,0.05,0.04352066993057728,98.512,0.09681156873703003,0.16410544514656067,0.05881251949985988,0.011599999852478504
39,0.05,0.045729320611953735,98.422,0.11552448272705078,0.15537576377391815,0.07117814583443849,0.017260000109672546
40,0.05,0.04256391788482666,98.604,0.10118544101715088,0.15402333438396454,0.06224053515824779,0.004019999876618385
41,0.05,0.04718281315565109,98.392,0.13418924808502197,0.1747167557477951,0.063091478789147,0.011420000344514847
42,0.05,0.04864759483456611,98.35,0.09339761734008789,0.15475769340991974,0.04968013346442124,0.004739999771118164
43,0.05,0.04284150804758072,98.582,0.10837182998657227,0.16906115412712097,0.05713416719992126,0.006320000160485506
44,0.05,0.04390315075516701,98.58,0.10076141357421875,0.1629519760608673,0.07259304500060981,0.022260000929236412
45,0.05,0.04449541110992432,98.566,0.10546914339065552,0.15871314704418182,0.05176541998767292,0.008500000461935997
46,0.05,0.04522166581392288,98.532,0.0873495101928711,0.15315771102905273,0.051797680464233053,0.003759999992325902
47,0.05,0.0411206447827816,98.664,0.09322870373725892,0.15898452699184418,0.040874751236295914,0.004879999905824661
48,0.05,0.04253581112205982,98.57,0.09570759534835815,0.16750240325927734,0.044160080401703716,0.00419999985024333
49,0.05,0.045649167183637616,98.54,0.1092454195022583,0.18063297867774963,0.051884753164813446,0.011380000039935112
50,0.05,0.044695210347771644,98.502,0.10088708400726318,0.17167827486991882,0.056049189807892086,0.007180000189691782
51,0.05,0.04635401902556419,98.428,0.08695087432861329,0.1559934765100479,0.03640124393979338,0.002319999970495701
52,0.05,0.039715345113277435,98.662,0.09439928531646728,0.16573308408260345,0.052340411768682316,0.003800000064074993
53,0.05,0.04540317135334015,98.522,0.09372808933258056,0.1645442545413971,0.0432826748358508,0.0033199999015778303
54,0.05,0.04014578572511673,98.688,0.08095523118972778,0.16469557583332062,0.050310635757799815,0.0034799999557435513
55,0.05,0.04170721649646759,98.554,0.10583109855651855,0.16795673966407776,0.050844283567812676,0.014639999717473984
56,0.05,0.04601181646466255,98.476,0.09941554069519043,0.15674611926078796,0.04313022188420579,0.004579999949783087
57,0.05,0.0428238492000103,98.562,0.0949876844882965,0.1599949151277542,0.056100467617842265,0.006819999776780605
58,0.05,0.04199295732021332,98.564,0.0890658140182495,0.16105008125305176,0.04667091240241583,0.0040799998678267
59,0.05,0.04435700279831886,98.488,0.09954203963279724,0.17037364840507507,0.0568890519646017,0.00875999964773655
60,0.05,0.03839889462351799,98.776,0.0916602611541748,0.1608688086271286,0.041876456660610906,0.0066200001165270805
61,0.05,0.04118337869763374,98.656,0.09095720648765564,0.15970852971076965,0.037371426412421194,0.004780000075697899
62,0.05,0.04156035133510828,98.656,0.08851488828659057,0.15065975487232208,0.04181001973592302,0.007000000216066837
63,0.05,0.04091730108082294,98.634,0.10345942974090576,0.16323994100093842,0.05540350303034902,0.00800000037997961
64,0.05,0.04336783954918384,98.568,0.09759454727172852,0.16579420864582062,0.036492994406334134,0.004679999779909849
65,0.05,0.044012354719638824,98.546,0.09374035000801087,0.1521310657262802,0.05248727604427317,0.008860000409185886
66,0.05,0.04677294853508472,98.448,0.10432626008987426,0.1651458889245987,0.04092178609166641,0.009259999729692936
67,0.05,0.03181003269970417,98.954,0.0824428677558899,0.15425007045269012,0.038981293761253255,0.007319999858736992
68,0.05,0.04315326890587807,98.56,0.09811124801635743,0.19066394865512848,0.06604553772075494,0.007660000119358301
