Epoch,LR,Loss,Accuracy,NC1,NC2,NC3,NC4
1,0.05,1.5116188233566283,45.266,4.461995315551758,0.5245926380157471,0.4675325294410868,0.30338001251220703
2,0.05,0.8955407481575012,68.206,1.7070783615112304,0.4170116186141968,0.3438225669605153,0.2088800072669983
3,0.05,0.6330209762954712,77.796,0.9174615859985351,0.3746233284473419,0.35399503149037415,0.15785999596118927
4,0.05,0.4933123351097107,82.688,0.7647844314575195,0.36163464188575745,0.35498912532975524,0.09811999648809433
5,0.05,0.3964387522125244,85.978,0.6313530445098877,0.3231571912765503,0.3136911328711136,0.1478399932384491
6,0.05,0.3056690768909454,89.266,0.5370602607727051,0.33033517003059387,0.30693973170759037,0.10486000031232834
7,0.05,0.2467564487171173,91.272,0.47287588119506835,0.32047703862190247,0.25103138746102616,0.07767999917268753
8,0.05,0.20830138442993165,92.632,0.41028194427490233,0.2729398012161255,0.2097784180124087,0.032019998878240585
9,0.05,0.17196353565216063,93.934,0.4249908447265625,0.31012144684791565,0.2650200957432389,0.060520000755786896
10,0.05,0.14943454824447633,94.72,0.4131158828735352,0.2633589804172516,0.1941546032806265,0.06825999915599823
11,0.05,0.12627090905189514,95.572,0.37325010299682615,0.25353845953941345,0.18546221678905628,0.04287999868392944
12,0.05,0.12666141409873963,95.512,0.356496000289917,0.23341070115566254,0.15787616230868995,0.025499999523162842
13,0.05,0.11756370205402374,95.986,0.3299139976501465,0.2405741810798645,0.15095497117812684,0.049320001155138016
14,0.05,0.11428834185600281,96.116,0.3097590208053589,0.22468772530555725,0.1319034441083753,0.024660000577569008
15,0.05,0.1060441967344284,96.37,0.32721171379089353,0.2428295910358429,0.14598211166030328,0.044280000030994415
16,0.05,0.11720268265724182,95.948,0.32787227630615234,0.2342664748430252,0.11999997504477111,0.02428000047802925
17,0.05,0.1086783981847763,96.242,0.31714906692504885,0.23681209981441498,0.12947695831009298,0.02850000001490116
18,0.05,0.1045670062971115,96.436,0.2896383047103882,0.22917692363262177,0.12903470343886525,0.02669999934732914
19,0.05,0.10735809063911438,96.34,0.3309068202972412,0.23509393632411957,0.13934569284944942,0.0558600015938282
20,0.05,0.10375401576519012,96.39,0.3182520389556885,0.25034835934638977,0.118483087883817,0.04941999912261963
21,0.05,0.10205123983860016,96.576,0.2918574571609497,0.2189238965511322,0.10716679674076435,0.027899999171495438
22,0.05,0.10287655449867249,96.494,0.3038123846054077,0.23188786208629608,0.11667207357905696,0.03415999934077263
23,0.05,0.09803858710289001,96.682,0.30772151947021487,0.23928500711917877,0.11027938725485242,0.03818000108003616
24,0.05,0.09396753688335419,96.92,0.28271055221557617,0.24092897772789001,0.10371754954940915,0.03818000108003616
25,0.05,0.0939134700846672,96.784,0.2668372631072998,0.21661421656608582,0.09508041893654084,0.02133999951183796
26,0.05,0.10051874504804612,96.596,0.29921722412109375,0.19535572826862335,0.0806722228520309,0.023879999294877052
27,0.05,0.08845602836728096,97.028,0.2946086168289185,0.21814529597759247,0.09424767108527377,0.022299999371170998
28,0.05,0.0942019102525711,96.88,0.29155266284942627,0.21225842833518982,0.09180780990843207,0.03175999969244003
